,Country Name,Country Code,Happiness Score,Life Expectancy,Suicide Rate,Unemployment Rate,Net National Income per capita,GDP,Inflation
128,Tanzania,TZA,3.702,65.91199999999999,4.220000000000001,2.1811999798,45989243237.0,53722763175.0,4.608078189
129,Thailand,THA,5.891,78.35940000000001,8.5,0.722000003,358157000000.0,464371000000.0,0.344796555
130,Togo,TGO,4.112,60.049,9.1,3.2708000662,5468357113.0,6188113378.0,0.900586095
131,Tunisia,TUN,4.516,75.8532,3.16,15.328000068,39600382710.0,43379376781.0,5.480657226
134,Uganda,UGA,4.603,62.110800000000005,4.5600000000000005,1.9221999882,25296464547.0,32123146556.0,4.397875622
135,Ukraine,UKR,5.084,71.57136585399999,21.42,8.996000099,103147000000.0,116250000000.0,19.1778942
138,United States,USA,6.977,78.63902439,15.439999999999998,4.4160000802,16846900000000.0,19658500000000.0,1.553022744
139,Uruguay,URY,6.474,77.5596,20.58,8.0880000114,48035564477.0,60098222344.0,8.002459897
142,Vietnam,VNM,5.485,73.96920000000001,7.640000000000001,1.7539999964,178122000000.0,284436000000.0,2.631031539
144,Zambia,ZMB,3.76,62.0514,8.219999999999999,11.431400107999998,18444390991.0,23540697735.0,10.24050458
