Series Name,Series Name,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Afghanistan,AFG,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Greece,GRC,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Greenland,GRL,..,..,..,..,..,..,..,..,..,..
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Grenada,GRD,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Guam,GUM,..,..,..,..,..,..,..,..,..,..
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Guatemala,GTM,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Guinea,GIN,0,0,0,0,0,0,0,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Guinea-Bissau,GNB,0,0,0,0,0,0,0,0,0,0
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Guyana,GUY,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Haiti,HTI,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Honduras,HND,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,"Hong Kong SAR, China",HKG,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Hungary,HUN,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Iceland,ISL,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,India,IND,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Indonesia,IDN,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,"Iran, Islamic Rep.",IRN,0,0,0,0,0,0,0,0,0,0
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Iraq,IRQ,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Ireland,IRL,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Israel,ISR,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Italy,ITA,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Jamaica,JAM,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Japan,JPN,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Jordan,JOR,0,0,0,0,0,0,0,0,0,0
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Kazakhstan,KAZ,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Kenya,KEN,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Kiribati,KIR,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,"Korea, Rep.",KOR,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Kosovo,XKX,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Kuwait,KWT,0,0,0,0,0,0,0,0,0,0
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Kyrgyz Republic,KGZ,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Lao PDR,LAO,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Latvia,LVA,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Lebanon,LBN,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Lesotho,LSO,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Liberia,LBR,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Libya,LBY,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Lithuania,LTU,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Luxembourg,LUX,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Madagascar,MDG,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Malawi,MWI,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Malaysia,MYS,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Maldives,MDV,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Mali,MLI,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Malta,MLT,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Marshall Islands,MHL,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Mauritius,MUS,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Mexico,MEX,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,"Micronesia, Fed. Sts.",FSM,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Moldova,MDA,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Monaco,MCO,..,..,..,..,..,..,..,..,..,..
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Mongolia,MNG,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Montenegro,MNE,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Morocco,MAR,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Mozambique,MOZ,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Myanmar,MMR,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Namibia,NAM,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Nauru,NRU,..,..,..,..,..,..,..,..,..,..
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Nepal,NPL,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Netherlands,NLD,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,New Zealand,NZL,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Nicaragua,NIC,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Niger,NER,0,0,0,0,0,0,0,0,0,0
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Nigeria,NGA,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,North Macedonia,MKD,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Norway,NOR,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Oman,OMN,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Pakistan,PAK,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Palau,PLW,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Panama,PAN,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Papua New Guinea,PNG,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Paraguay,PRY,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Peru,PER,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Philippines,PHL,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Poland,POL,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Portugal,PRT,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Puerto Rico,PRI,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Qatar,QAT,0,0,0,0,0,0,0,0,0,0
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Romania,ROU,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Russian Federation,RUS,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Rwanda,RWA,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Samoa,WSM,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,San Marino,SMR,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Sao Tome and Principe,STP,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Saudi Arabia,SAU,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Senegal,SEN,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Serbia,SRB,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Seychelles,SYC,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Sierra Leone,SLE,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Singapore,SGP,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Slovak Republic,SVK,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Slovenia,SVN,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Solomon Islands,SLB,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Somalia,SOM,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,South Africa,ZAF,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,South Sudan,SSD,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Spain,ESP,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Sri Lanka,LKA,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,St. Kitts and Nevis,KNA,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,St. Lucia,LCA,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,St. Vincent and the Grenadines,VCT,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Sudan,SDN,0,0,0,0,0,0,0,0,0,0
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Suriname,SUR,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Sweden,SWE,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Switzerland,CHE,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Syrian Arab Republic,SYR,0,0,0,0,0,0,0,0,0,0
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Tajikistan,TJK,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Tanzania,TZA,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Thailand,THA,1,1,1,1,1,1,1,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Timor-Leste,TLS,1,1,1,1,1,1,1,1,1,1
