,Country Name,Country Code,Region,Happiness Score,Life Expectancy,Suicide Rate,Unemployment Rate,Inflation,Net National Income Total ($) billions,GDP Total ($) billions
33,Ethiopia,ETH,Africa,4.241,64.8258,5.44,2.301000023,11.30536316,65.16,80.17
34,Finland,FIN,Europe,7.821,81.65170732,15.32,8.178000069,0.602137124,208.38,255.04
35,France,FRA,Europe,6.687,82.59463415,14.66,9.448000144,0.8424404,2188.76,2605.43
36,Gabon,GAB,Africa,4.958,66.072,8.92,20.69880066,2.326694371,9.77,15.42
37,"Gambia, The",GMB,Africa,5.164,63.0594,4.9,9.484799957,7.141616381,1.16,1.57
38,Georgia,GEO,Europe,4.973,73.4494,9.88,14.25799999,3.928393106,13.24,16.28
39,Germany,DEU,Europe,7.034,80.96195122,12.82,3.801999998,1.13870008,3108.43,3676.19
40,Ghana,GHA,Africa,4.872,63.988,6.94,5.029799938,12.38578619,46.66,60.32
41,Guatemala,GTM,Americas,6.262,72.5728,5.8,2.403999996,3.742708945,59.59,70.08
42,Honduras,HND,Americas,6.022,72.6924,2.44,5.952000046,3.706005047,20.0,23.0
43,Hungary,HUN,Europe,6.086,75.96682927,18.08,4.642000008,1.774040344,115.21,144.29
44,India,IND,Asia,3.777,70.368,12.34,5.363199902,4.170339072,2203.99,2516.87
45,Indonesia,IDN,Asia,5.24,70.0578,2.4,4.142000103,3.985331485,783.16,993.94
46,"Iran, Islamic Rep.",IRN,Asia,4.888,75.7986,5.88,11.78999977,17.13929907,279.92,393.64
47,Iraq,IRQ,Asia,4.941,70.3862,3.86,12.07880001,0.460477339,151.72,196.32
48,Ireland,IRL,Europe,7.041,82.03414634,9.76,7.13599987,0.297274694,187.07,342.46
49,Israel,ISR,Asia,7.364,82.52341463,5.1,4.413999987,0.145196026,301.32,352.58
50,Italy,ITA,Europe,6.467,83.11560976,6.84,11.07199974,0.584008298,1614.25,1955.75
51,Jamaica,JAM,Americas,5.85,71.977,2.28,11.02400007,3.612540349,13.28,14.93
52,Japan,JPN,Asia,6.039,84.08917073,17.12,2.820000028,0.522018268,3849.52,4908.12
53,Jordan,JOR,Asia,4.152,75.5092,1.54,16.31599979,1.378487557,38.63,41.69
54,Kazakhstan,KAZ,Asia,6.234,72.732,20.46,4.888000011,7.983282408,121.52,169.9
55,Kenya,KEN,Africa,4.543,62.431,5.72,3.66180005,6.162146895,67.95,83.91
56,Kuwait,KWT,Asia,6.106,79.6902,2.72,2.177800036,2.055382718,116.4,123.82
57,Kyrgyz Republic,KGZ,Asia,5.828,71.1604878,8.44,7.092800045,2.548750116,5.92,7.67
58,Latvia,LVA,Europe,6.18,74.77219512,20.5,8.390000057,1.718220429,23.76,30.92
59,Lesotho,LSO,Africa,3.512,52.867,81.34,23.1538002,4.840307205,2.22,2.36
60,Lithuania,LTU,Europe,6.446,75.28731707,30.18,7.292000103,1.755350693,40.26,48.15
61,Luxembourg,LUX,Europe,7.404,82.40146341,10.82,5.932000065,1.153578417,37.05,65.77
62,Madagascar,MDG,Africa,4.339,65.1164,5.5,1.823599982,7.250749016,10.3,12.84
63,Malawi,MWI,Africa,3.75,62.7918,5.84,5.790199947,15.38257377,7.01,8.33
64,Malaysia,MYS,Asia,5.711,75.4526,5.28,3.301999998,1.922751716,231.56,329.14
65,Mali,MLI,Africa,4.479,59.0566,4.16,7.515999985,0.010436099,13.11,15.37
66,Mauritania,MRT,Africa,4.153,65.0666,3.06,10.30339985,2.469550375,6.11,6.98
67,Mauritius,MUS,Africa,6.071,74.38297561,8.76,6.745999908,1.910586178,12.68,13.5
68,Mexico,MEX,Americas,6.128,74.2898,5.56,3.669999981,4.023823462,925.08,1180.14
69,Moldova,MDA,Europe,5.857,70.22,15.22,4.405999947,6.097723355,9.0,9.78
70,Mongolia,MNG,Asia,5.761,70.5242,19.16,5.855800057,4.979140707,9.08,12.33
71,Morocco,MAR,Africa,5.06,73.624,7.22,9.309399986,1.211036851,96.7,119.36
72,Myanmar,MMR,Asia,4.394,66.0328,3.04,0.975399995,7.330585866,56.04,64.13
73,Nepal,NPL,Asia,5.377,68.7358,8.7,3.115199995,5.98323945,27.39,29.03
74,Netherlands,NLD,Europe,7.415,81.75121951,11.8,4.986000061,1.327114115,701.56,841.55
75,New Zealand,NZL,Asia,7.2,81.65873171,11.8,4.747999954,1.201532305,164.26,199.78
76,Nicaragua,NIC,Americas,6.165,73.5394,4.38,4.462199926,4.338950399,11.29,13.09
77,Niger,NER,Africa,5.003,62.0446,5.32,0.540999997,0.87039661,11.47,11.4
78,Nigeria,NGA,Africa,4.552,52.3306,3.6,7.349200058,12.93995885,354.98,428.66
79,North Macedonia,MKD,Europe,5.199,76.00146341,9.32,22.03399963,0.607432038,9.17,11.47
80,Norway,NOR,Europe,7.365,82.60780488,12.2,4.125999975,2.505759726,323.23,398.99
81,Pakistan,PAK,Asia,4.516,66.2224,9.0,3.777399969,5.207248015,267.81,320.09
82,Panama,PAN,Americas,6.309,77.7178,3.04,3.731599951,0.431861308,52.68,61.22
83,Paraguay,PRY,Americas,5.578,73.5116,5.82,5.446000004,3.510202079,33.66,37.89
84,Peru,PER,Americas,5.559,75.8908,2.72,3.514000034,2.742289037,175.35,208.73
85,Philippines,PHL,Asia,5.904,71.545,2.22,2.579999971,2.496498205,339.1,335.44
86,Poland,POL,Europe,6.123,77.71268293,13.4,5.135999918,0.915494541,448.84,531.32
87,Portugal,PRT,Europe,6.016,81.33463414,11.96,9.165999793,0.759168782,177.57,221.9
88,Romania,ROU,Europe,6.477,75.2795122,10.34,5.148000002,1.530681373,173.79,213.53
89,Russian Federation,RUS,Europe,5.459,72.20643902,28.68,5.138000012,6.721769194,1177.72,1512.98
90,Rwanda,RWA,Africa,3.268,65.9328,5.64,1.127600002,4.203809795,7.45,9.3
91,Saudi Arabia,SAU,Asia,6.523,77.1316,6.18,5.768599987,0.56030545,587.59,721.6
92,Senegal,SEN,Africa,5.046,67.7498,6.2,4.209000063,0.902040169,18.19,20.87
93,Singapore,SGP,Asia,6.48,83.11560976,9.54,3.762599897,0.105050818,259.08,344.5
94,Slovak Republic,SVK,Europe,6.391,77.16536585,12.26,8.313999938,1.129062874,78.27,97.27
95,Slovenia,SVN,Europe,6.63,81.17756098,19.7,6.615999985,0.843537367,38.37,48.99
96,South Africa,ZAF,Africa,5.194,65.1896,24.34,26.82200012,4.986739289,302.92,368.89
97,Spain,ESP,Europe,6.476,83.34146342,7.88,17.65199966,0.725522597,1110.3,1311.8
98,Sri Lanka,LKA,Asia,4.362,75.4834,14.5,4.296000004,4.218965059,76.14,90.21
99,Sweden,SWE,Europe,7.384,82.51804878,14.98,6.865999889,1.293933964,448.97,530.22
100,Switzerland,CHE,Europe,7.512,83.54195122,14.54,4.724000072,0.05089643,544.41,704.83
101,Tanzania,TZA,Africa,3.702,65.912,4.22,2.18119998,4.608078189,45.99,53.72
102,Thailand,THA,Asia,5.891,78.3594,8.5,0.722000003,0.344796555,358.16,464.37
103,Togo,TGO,Africa,4.112,60.049,9.1,3.270800066,0.900586095,5.47,6.19
104,Tunisia,TUN,Africa,4.516,75.8532,3.16,15.32800007,5.480657226,39.6,43.38
105,Uganda,UGA,Africa,4.603,62.1108,4.56,1.922199988,4.397875622,25.3,32.12
106,Ukraine,UKR,Europe,5.084,71.57136585,21.42,8.996000099,19.1778942,103.15,116.25
107,United States,USA,Americas,6.977,78.63902439,15.44,4.41600008,1.553022744,16846.9,19658.5
108,Uruguay,URY,Americas,6.474,77.5596,20.58,8.088000011,8.002459897,48.04,60.1
109,Vietnam,VNM,Asia,5.485,73.9692,7.64,1.753999996,2.631031539,178.12,284.44
110,Zambia,ZMB,Africa,3.76,62.0514,8.22,11.43140011,10.24050458,18.44,23.54
